106400	directeur(-trice) - technologie, architecture, innovation et securite	Director - Technology, Architecture, Innovation and Security
106410	directeur(-trice)-gestion des parcs et biodiversite	Director of Parks and Biodiversity Management
106420	directeur(-trice)-amenagement parcs et espaces publics	director of parks and public spaces development
106440	directeur(-trice) - centre de services 311	director - 311 service center
106450	directeur(-trice) gestion du portefeuille de projets	project portfolio management director
106460	directeur(-trice) - mise en valeur des poles economiques	director - development of economic centers
106470	directeur(-trice)-architecture d affaires et amelioration continue	director of business architecture and continuous improvement
106480	directeur(-trice) optimisation securite proprete	director of security and cleanliness optimization
106510	directeur(-trice) acquisitions	acquisitions director
106520	directeur(-trice) chaine logistique	supply chain director
106550	directeur(-trice) d arrondissement delegue(e) ville-marie	delegated district director Ville-Marie
106560	directeur(-trice) - grands projets de transport en partenariat	director - major transport projects in partnership
106580	directeur(-trice)-direction des services administratifs et des projets urbains	Director of Administrative Services and Urban Projects
106590	directeur(-trice) arrondissement adjoint(e)-qualité de vie	Deputy District Director - Quality of Life
106600	directeur(-trice) d arrondissement adjoint(e) - gestion territoire et sa	Deputy District Director - Territorial Management and its
106610	directeur(-trice)-projets du service de l eau	water service project director
106630	directeur(-trice)-entretien de l eclairage, signalisation et marquage	lighting, signaling and marking maintenance manager
106640	directeur(-trice)-bureau de la retraite	director-pension office
106650	directeur(-trice)-financement, placements et tresorerie	Director of Finance, Investments and Treasury
106670	directeur(-trice) - securite de l information	director - information security
106680	directeur(-trice)-relations avec les partenaires et communications	Director of Partner Relations and Communications
106710	commissaire - lutte racisme et discriminations systemiques	Commissioner - fight against racism and systemic discrimination
106730	directeur(-trice) de projets - programmes et systemes	project manager - programs and systems
106740	directeur(-trice)  - communications corporatives	director - corporate communications
106750	directeur(-trice)-projets speciaux, soutien general et service a la clientele	Director - Special Projects, General Support and Customer Service
106760	directeur(-trice) de la biosphere	director of the biosphere
106780	directeur(-trice)-services administratifs en arrondissements	director of administrative services in districts
106790	directeur(-trice) - projets et developpement des services aux citoyens	Director - Projects and Development of Citizen Services
106800	directeur(-trice) - infrastructures et opérations	Director - Infrastructure and Operations
106820	directeur(-trice) de service - planification strategique et performance organisationnelle	department director - strategic planning and organizational performance
106830	directeur(-trice) - strategie, performance et donnees	Director - Strategy, Performance and Data
106840	directeur(-trice) - innovation urbaine et opportunites str  ategiques	Director - Urban Innovation and Strategic Opportunities
106860	directeur(-trice) - espaces de travail et services aux utilisateurs	Director - Workspaces and User Services
106870	directeur(-trice) de service - stratégie immobilière	service director - real estate strategy
106880	directeur(-trice) - projets majeurs	director - major projects
106890	directeur(-trice) - gestion des actifs	director - asset management
106900	directeur(-trice) - strategie et performance	director - strategy and performance
106920	directeur(-trice) - revue des activites de la ville	director - review of city activities
106940	directeur(-trice) - affaires publiques et protocole	Director - Public Affairs and Protocol
106950	directeur(-trice) bureau de projets	project office director
106960	directeur(-trice) - transactions immobilieres	director - real estate transactions
106970	directeur(-trice) développement résidentiel	residential development director
106980	directeur(-trice) salubrité et programmes	director of sanitation and programs
107020	responsable soutien a la direction et charge(e) de projets  responsable soutien a la direc	management support manager and project manager management support manager
107030	chef(fe) de service - ressources matérielles, technologiqueset informationnelles (spvm)	Head of Department - Material, Technological and Information Resources (SPVM)
107070	directeur(-trice) - strategies et programmes sociaux	Director - Social Strategies and Programs
107080	directeur(-trice) - interventions territoriales	director - territorial interventions
122210	president(e) de la commission de la fonction publique de montreal	President of the Montreal Public Service Commission
200290	c/m  ventilation, clim., chauf., refrigeration   mecanique	c/m ventilation, air conditioning, heating, mechanical refrigeration
200630	c/m - proprete   trav.	c/m - cleanliness work.
200670	c/m  des metiers	c/m of trades
200880	conseiller(ere) en securite informatique	IT security advisor
200890	c/m  de form.	c/m of form.
201620	chef(fe) de division - entretien, eclairage, signalisation, marquage chaussee - rsmt	Division Manager - Maintenance, Lighting, Signaling, Road Marking - RSMT
202260	charge(e) - enquetes analyses	charge(e) - investigations analyses
202830	gestionnaire immobilier(-iere)	property manager
203320	chef(fe) de section - archives	section head - archives
203520	responsable temps et soutien rh	time and HR support manager
203600	contremaitre(-tresse) - electricite et refrigeration (lach)	foreman (-tresse) - electricity and refrigeration (lach)
203620	c/m usine de filtration (arr.lachine)	c/m filtration plant (arr.lachine)
203640	chef(fe) de division - travaux publics (arr. lachine et anjou)	Division Head - Public Works (Lachine and Anjou districts)
203690	chef(fe) de section - arts de la scene (arr. lachine)	Section Head - Performing Arts (Lachine District)
203710	chef(fe) de section - usine de filtration (arr. lachine)	section manager - filtration plant (Lachine district)
203750	chef(fe) de division - gestion infrastructure, loisirs et equipements (arr. lasalle)	Head of Division - Infrastructure, Leisure and Equipment Management (Lasalle District)
203840	chef(fe) de division - activites operationnelles (arr. ile bizard ste-genevieve)	Division Head - Operational Activities (Ile Bizard Ste-Genevieve District)
203970	contremaître(-tresse) - mécanique du bâtiment	foreman (braid) - building mechanics
204300	c/m voirie   hygiène du milieu arr.outremont pierrefonds/rox	c/m roadworks environmental hygiene arr.outremont pierrefonds/rox
204330	coordonnateur(-trice) - circulation et stationnement outremont et plateau mont-royal	Coordinator - Traffic and Parking Outremont and Plateau Mont-Royal
204400	regisseur(-euse) des sports (arr.outremont)	sports director (outremont district)
204460	c/d lois.  évén.<<arr.verd>>	c/d laws.  event<<arr.verd>>
204570	c/m entret.du terr.<<arr.verd>>	c/m land maintenance<<verd.arr.>>
204580	contremaître(-tresse) - enveloppe du bâtiment (v)	foreman (-braid) - building envelope (v)
205650	c/d opérations <<arr.mtln et outremont>>	c/d operations <<arr.mtln and outremont>>
206280	chef(fe) de section - centre sportif et installations	section head - sports center and facilities
206360	chef(fe) de section - infrastructure et operations informatiques (arr. st-laurent)	Section Head - IT Infrastructure and Operations (St-Laurent District)
206380	c/s serv.public (arr.stlau)	c/s serv.public (arr.stlau)
206430	contremaître(-tresse) - électricité (sla)	foreman (braid) - electricity (sla)
206700	adj.c/s armurerie et approvisionnement spvm	adj.c/s armory and supply spvm
206790	chef(fe) de division - formation (spvm)	division head - training (SPVM)
206920	agent de gestion adm.(parc auto.spvm)	administrative management agent (car park, SPVM)
206930	agent(e) de gestion - operations (parc automobile - spvm)	management agent - operations (vehicle fleet - SPVM)
207090	c/sec régional_evaluation fonciere	c/regional sec_land assessment
207190	chef(fe) de division - information policiere	head of division - police information
207250	chef(fe) de module - centrale d information policiere (spvm)	module head - police information center (SPVM)
207270	chef(fe) de section - développement de compétences technologiques	section head - technological skills development
207310	chef(fe) de division - affaires civiles	head of division - civil affairs
207410	chef(fe) de division - bureau des reclamations - contentieux	head of division - claims office - litigation
207590	chef(fe) de section - évolution m-iris	section head - m-iris evolution
207770	responsable de la releve spvm	SPVM relief manager
207780	chef(fe) de section - grands parcs	section head - large parks
207810	superviseur(e) - centre de communications d urgence	supervisor - emergency communications center
207830	chef(fe) de section - programme d aide aux policiers et policieres	section chief - police assistance program
207880	superviseur(e) inspection - aliments (cum)	food inspection supervisor (cum)
207900	chef(fe) de division - inspection des aliments	division head - food inspection
208260	c/m voirie (arr. pier/roxb)	c/m road network (arr. pier/roxb)
208500	chef(fe) de division - sports, loisirs et installations (arr. pierrefonds)	Division Head - Sports, Recreation and Facilities (Pierrefonds District)
208540	chef(fe) de section - ingenierie (arr. pierrefonds)	section head - engineering (Pierrefonds district)
208620	contremaitre(-tresse) - aqueduc et egouts (arrondissement)	foreman (braid) - aqueduct and sewers (district)
208640	chef(fe) de division - edifices, equipements et parcs (arr. pierrefonds)	Division Head - Buildings, Equipment and Parks (Pierrefonds District)
208990	greffier adj.	assistant clerk
209010	chef(fe) de division - sante et mieux-etre	Division Head - Health and Wellness
209060	c/d developpement organisationnel	c/d organizational development
209080	c/d recours   arbitrages	c/d arbitration appeals
209100	chef(fe) de division - paie	division head - payroll
209230	chef(fe) de division - budget	division head - budget
209240	chef(fe) de division - gestion de la dette et de la tresorerie	Division Head - Debt and Treasury Management
209250	chef(fe) de division - financement, placement et gestion du risque	Head of Division - Financing, Investment and Risk Management
209260	chef(fe) de division - gestion, comptabilisation et controle des caisses de retraite	Head of Division - Management, Accounting and Control of Pension Funds
209340	c/d administration - niveau 1	c/d administration - level 1
209370	chef(fe) de division - ressources humaines (arrondissement)	head of division - human resources (district)
209380	chef(fe) de division - ressources financieres et materielles (arrondissement)	head of division - financial and material resources (district)
209390	chef(fe) de division - ressources financieres, materielles et informationnelles (arrond.)	Head of Division - Financial, Material and Information Resources (district)
209410	chef(fe) de division - ressources humaines et financieres (arrondissement)	Head of Division - Human and Financial Resources (District)
209430	secretaire d arrondissement	district secretary
209780	c/d rel. cit. ? com. arr. < 60000	c/d rel. cit. ? com. arr. < 60000
209830	chef(fe) de division - ateliers mecaniques	division manager - mechanical workshops
209840	chef(fe) de division - relations avec les citoyens et communications (arrondissement)	Head of Division - Citizen Relations and Communications (District)
210000	chef(fe) de division - ameliorations urbaines et qualite du milieu (arrondissement)	Head of Division - Urban Improvements and Environmental Quality (District)
210030	chef(fe) de division - permis et inspection (arrondissement)	division head - permits and inspection (district)
210050	chef(fe) de division - planification urbaine	head of division - urban planning
210060	chef(fe) de division - developpement durable	head of division - sustainable development
210070	chef(fe) de division - patrimoine	head of division - heritage
210080	chef(fe) de division - urbanisme (arrondissement)	head of division - urban planning (district)
210100	chef(fe) de division - urbanisme, permis et inspections (arr. outremont)	Division Head - Urban Planning, Permits and Inspections (Outremont District)
210110	chef(fe) de division - urbanisme, permis et inspections (arrondissement)	Division Head - Urban Planning, Permits and Inspections (District)
210120	chef(fe) de section - gestion des programmes d habitation	section head - housing program management
210820	chef(fe) de division - developpement des projets en transport	Head of Division - Transport Project Development
210880	chef(fe) de division - ressources materielles, alimentaires et logistiques (arr. mhm)	Head of Division - Material, Food and Logistics Resources (mhm district)
210920	chef(fe) de division - ingenierie et infrastructures (arr. pierreonds/roxboro)	Division Head - Engineering and Infrastructure (Pierreonds/Roxboro District)
210930	chef(fe) de division - voirie et parcs en arrondissement	head of division - roads and parks in the district
210970	chef(fe) de division - soutien technique (arr. montreal-nord)	Division Manager - Technical Support (Montreal-North District)
210980	chef(fe) de division - voirie - arrondissement	division head - roads - district
210990	chef(fe) de division - parcs (arrondissement)	division head - parks (district)
211040	c/d gest.énergie env.  expertises	c/d energy management env. expertise
211050	chef(fe) de division - diversite sociale	division head - social diversity
211130	chef(fe) de division - relations de presse	Head of Division - Press Relations
211280	agent(e) conseil - systemes info en ressources humaines	human resources information systems consultant
211290	agent(e) conseil- remuneration	advisory agent - remuneration
211310	agent(e) conseil en ressources humaines	human resources consulting agent
211320	agent(e) de ressources humaines	human resources officer
211330	agent(e) prepose(e) aux indemnites	compensation officer
211340	c/d ress. hum. - serv corporatif	c/d hum. ress. - corporate serv.
211360	chef(fe) de section - partenaires affaires ressources humaines	section head - human resources business partners
211380	chef(fe) de section - paie	section head - payroll
211400	chef(fe) de division - gestion de la presence au travail	head of division - work attendance management
211430	chef(fe) de section - systemes d information - ressources humaines	section head - information systems - human resources
211440	chef(fe) de division - actuariat et developpement	Head of Division - Actuarial Science and Development
211460	conseiller(-ere) (specialite)	advisor (specialty)
211470	conseiller(-ere) principal(e) (specialite)	senior advisor (specialty)
211480	conseiller(-ere) en ressources humaines	human resources advisor
211570	chef(fe) de division - centre de communications d urgence (sim)	Division Head - Emergency Communications Center (SIM)
211630	chef(fe) de division - developpement et stratégie	Head of Division - Development and Strategy
211640	chef(fe) de division - gestion des installations (dir. sports)	Head of Division - Facilities Management (Sports Directorate)
211650	chef(fe) de division - orientations, evenements, equipements, pratiques sportives	head of division - orientations, events, equipment, sports practices
211700	chef(fe) de section - centre sportif et installations dcqmv	section head - sports center and dcqmv facilities
211730	c/d biblio.<<arr.<60000>>	c/d biblio.<<arr.<60000>>
211740	chef(fe) de division - bibliotheque en arrondissement	division head - district library
211750	chef(fe) de division - culture et bibliotheque en arrondissement	head of division - culture and library in the district
211760	c/d cult.  biblio.<<arr.<60000>>	c/d cult.  biblio.<<arr.<60000>>
211770	chef(fe) de division - culture, biblio, sports, loisirs et dev. social	head of division - culture, library, sports, leisure and development. social
211780	chef(fe) de division - sports, loisirs et developpement social en arrondissement	head of division - sports, leisure and social development in the district
211830	chef(fe) de division - culture (arrondissement)	head of division - culture (district)
211890	chef(fe) de division - soutien aux evenements	Division Head - Event Support
211900	chef(fe) de division - culture, bibliotheque et developpement social - arrondissement	Head of Division - Culture, Library and Social Development - Borough
211940	chef(fe) de section - sports, loisirs, developpement social (arrondissement)	section head - sports, leisure, social development (district)
211950	chef(fe) de section - bibliotheque (arrondissement)	section head - library (district)
212200	contremaitre(-tresse) - batiment et metiers (mtln)	foreman (-braid) - building and trades (mtln)
212230	contremaitre(-tresse) - electricite (mtln/stle)	foreman (-braid) - electricity (mtln/stle)
212270	contremaître(-tresse) - forêt urbaine (outr)	foreman (braid) - urban forest (outr)
212290	chef(fe) de section - soutien aux instances	section head - support to authorities
212300	charge(e) de dossiers ou missions	case or mission manager
212350	chef(fe) de division - horticulture et collections	Head of Division - Horticulture and Collections
212400	chef(fe) de section - securite et regie	section head - security and management
212490	regisseur(-euse)	director
212520	c/d génie <<arr._st-leonard>>	c/d engineering <<arr._st-leonard>>
212540	charge(e) de projets - mecanique du batiment - stle	project manager - building mechanics - style
212570	chef(fe) de section - voirie	section head - roads
212620	chef(fe) de division - expertise comptable	head of division - accounting expertise
212760	chef(fe) de division - gestion des grands parcs	division head - large park management
212770	c/m  a l ent. des controles   de l instrumentation	c/m a l slow. instrumentation controls
212870	agent(e) conseil recherche de talents et dotation	talent search and staffing consulting agent
212900	chef(fe) de division - transactions immobilieres	head of division - real estate transactions
212930	chef(fe) de section - ateliers mecaniques	section head - mechanical workshops
212950	chef(fe) de section - formation vehicules	section leader - vehicle training
212960	chef(fe) de section - gestion immobiliere et exploitation des batiments a contrat	section head - property management and contract building operation
212970	c/d adj.voirie <<arr.>60000>>	c/d adj.roads <<arr.>60000>>
212980	chef(fe) de section - usines de l ouest	section manager - western factories
213040	c/s ress.matérielles <<arr.>60000>>	c/s material resources <<arr.>60000>>
213310	conseiller(-ere) en analyses financieres chef d equipe	financial analysis advisor team leader
213380	chef(fe) de division - programmes publics et educatifs	Division Head - Public and Educational Programs
213390	contremaitre(-tresse) - batiments, signalisation, eclairage (arrondissement)	foreman (braid) - buildings, signaling, lighting (district)
213430	c/m voirie <<arr.>>	c/m road <<arr.>>
213440	c/m parcs,terrains jeux   sports <<arr.>>	c/m parks, playgrounds, sports <<arr.>>
213450	c/m voirie,parcs   esp.verts <<arr.<60000>>	c/m roads, parks, green spaces <<arr.<60000>>
213460	contremaitre(-tresse) - atelier mecanique (en arr.)	foreman (braid) - mechanical workshop (in arr.)
213470	contremaître(-tresse) - horticulture et parcs (en arr.)	foreman (braid) - horticulture and parks (in arr.)
213480	contremaitre(-tresse) - metiers	foreman (braid) - trades
213540	c/m propreté   deneigement <<arr.lasa,outr>>	c/m cleanliness snow removal <<arr.lasa,outr>>
213550	contremaitre(-tresse)-atelier mecanique et magasin (lasalle)	foreman (braid) - mechanical workshop and store (Lasalle)
213560	c/m trav.généraux <<arr.>>	c/m general work <<arr.>>
213580	contremaître(-tresse) - électricité et électronique (v)	foreman (-braid) - electricity and electronics (v)
213600	c/m propreté   travaux <<arr.>>	c/m cleanliness works <<arr.>>
213610	contremaitre(-tresse) - installation et depannage en eclairage et signalisation (rpp)	foreman (braid) - installation and troubleshooting in lighting and signaling (rpp)
213620	contremaitre(-tresse)-supervision des services alimentaires	foreman (-braid) - food service supervision
213650	contremaître(-tresse) - électricité aux usines de production des eaux (eau)	foreman (-braid) - electricity at water production plants (water)
213700	contremaitre(-tresse)-radiocommunication et sonorisation mra	foreman (braid) - radiocommunication and sound system MRA
213780	contremaitre(-tresse) - atelier mécanique (service/spvm)	foreman (braid) - mechanical workshop (service/SPVM)
213920	régisseur cult.<<arr.outr>>	cultural director
213930	regisseur(-euse) des loisirs (arrondissement outremont)	recreation manager (outremont borough)
214020	contremaitre(-tresse) - horticulture champetre ou abritee, pepiniere et parc floral	foreman (-braid) - field or sheltered horticulture, nursery and flower park
214050	chef(fe) de section - circulation arrondissement	section head - district traffic
214120	c/d bur.projets (srmi)	c/d bur.projects (srmi)
214140	chef(fe) de section - parc automobile spvm	section head - SPVM vehicle fleet
214200	chef(fe) de section - travaux deneigement (arrondissement)	section head - snow removal work (district)
214230	adj. au directeur principal/directeur d arrondissement	assistant to the principal director/district director
214330	chef(fe) de division - poursuites penales et criminelles	Head of Division - Criminal and Penal Prosecutions
214400	chef(fe) de division - planification et soutien au greffe	Head of Division - Registry Planning and Support
214410	c/d urb.env.hab.  dev.écon.<<arr.mtln>>	c/d urb.env.hab.  dev.econ.<<arr.mtln>>
214420	chef(fe) de division - operations travaux publics	head of division - public works operations
214440	c/m entret.  décoration	c/m maintenance. decoration
214450	chef(fe) de division - informatique en arrondissement	head of division - IT in the district
214480	chef(fe) de division - etudes techniques en arrondissement	head of division - technical studies in the district
214510	chef(fe) de section - archives (police)	section head - archives (police)
214550	chef(fe) de section - soutien general	section head - general support
214560	contremaitre(-tresse)-plomberie, usines et environnement, voirie, reseaux	foreman (-braid) - plumbing, factories and environment, roads, networks
214570	c/d dév.écon.<<arr.vmar>>	c/d dev.econ.<<arr.vmar>>
214630	c/m voirie signal. (arr.pier-roxb./stlau)	c/m road signal. (arr.pier-roxb./stlau)
214640	contremaître(-tresse) - mécanique aux usines	foreman (braid) - factory mechanics
214690	superviseur(e) - installations des parcs et des centres sportifs et recréatifs (arr.)	supervisor - parks, sports and recreation centers facilities (arr.)
214730	chef(fe) de division - service a la clientele (arrondissement)	division manager - customer service (district)
214740	c/m gen.des métiers - biodome	c/m gen.des métiers - biodome
214770	chef(fe) de section - qualite du milieu (arrondissement st-leonard)	Section Head - Environmental Quality (St-Leonard borough)
214890	chef(fe) de section - soutien a la magistrature	head of section - support to the judiciary
214910	chef(fe) de section - inspections batiments	section head - building inspections
214920	conseiller(-ere) - gestion des invalidites presence au travail	advisor - disability management presence at work
214930	chef(fe) de section - animation et mouvement citoyen	section head - animation and citizen movement
215170	c/m batiment et équipements	c/m building and equipment
215210	chef(fe) de division - securite	division head - security
215230	chef(fe) de section - activites aquatiques (arrondissement)	section head - aquatic activities (district)
215240	chef(fe) de division - communications et relations avec la communaute	Division Head - Communications and Community Relations
215260	resp.corpo.resp.personne	body manager, person manager
215290	chef(fe) de section - developpement des personnes sim/spvm	section head - people development sim/spvm
215350	chef(fe) de section - prevention incendie	section head - fire prevention
215380	chef(fe) de section - exploitation aqueduc et egout (arr. st-laurent)	Section manager - waterworks and sewer operations (St-Laurent district)
215400	contremaître(-tresse) - atelier en éclairage et signalisation (rpp)	foreman (braid) - lighting and signaling workshop (rpp)
215410	chef(fe) de section - securite	section head - security
215450	chef(fe) de division - greffe et greffier(-iere) de la cour municipale	head of division - registry and clerk of the municipal court
215460	chef(fe) de section - greffe et greffier adjoint	head of section - registry and deputy registrar
215480	chef(fe) de division - service a la clientele               entele	division manager - entele customer service
